Time [min],Power [kW],Cumulative Energy [kWh],Normalized Load
912,95.0,227.1666666666661,0.5757575757575758
913,95.0,225.58333333333275,0.5757575757575758
914,95.0,223.9999999999994,0.5757575757575758
915,95.0,222.41666666666606,0.5757575757575758
916,95.0,220.83333333333272,0.5757575757575758
917,95.0,219.24999999999937,0.5757575757575758
918,95.0,217.66666666666603,0.5757575757575758
919,95.0,216.0833333333327,0.5757575757575758
920,95.0,214.49999999999935,0.5757575757575758
921,95.0,212.916666666666,0.5757575757575758
922,95.0,211.33333333333266,0.5757575757575758
923,95.0,209.74999999999932,0.5757575757575758
924,95.0,208.16666666666598,0.5757575757575758
925,95.0,206.58333333333263,0.5757575757575758
926,95.0,204.9999999999993,0.5757575757575758
927,95.0,203.41666666666595,0.5757575757575758
928,95.0,201.8333333333326,0.5757575757575758
929,95.0,200.24999999999926,0.5757575757575758
930,95.0,198.66666666666592,0.5757575757575758
931,95.0,197.08333333333258,0.5757575757575758
932,95.0,195.49999999999923,0.5757575757575758
933,95.0,193.9166666666659,0.5757575757575758
934,95.0,192.33333333333255,0.5757575757575758
935,95.0,190.7499999999992,0.5757575757575758
936,95.0,189.16666666666586,0.5757575757575758
937,95.0,187.58333333333252,0.5757575757575758
938,95.0,185.99999999999918,0.5757575757575758
939,95.0,184.41666666666583,0.5757575757575758
940,50.0,183.5833333333325,0.30303030303030304
941,50.0,182.74999999999915,0.30303030303030304
942,50.0,181.9166666666658,0.30303030303030304
943,50.0,181.08333333333246,0.30303030303030304
944,50.0,180.24999999999912,0.30303030303030304
945,50.0,179.41666666666578,0.30303030303030304
946,50.0,178.58333333333243,0.30303030303030304
947,50.0,177.7499999999991,0.30303030303030304
948,50.0,176.91666666666575,0.30303030303030304
949,50.0,176.0833333333324,0.30303030303030304
950,50.0,175.24999999999906,0.30303030303030304
951,50.0,174.41666666666572,0.30303030303030304
952,50.0,173.58333333333238,0.30303030303030304
953,50.0,172.74999999999903,0.30303030303030304
954,50.0,171.9166666666657,0.30303030303030304
955,50.0,171.08333333333235,0.30303030303030304
956,50.0,170.249999999999,0.30303030303030304
957,50.0,169.41666666666566,0.30303030303030304
958,50.0,168.58333333333232,0.30303030303030304
959,50.0,167.74999999999898,0.30303030303030304
960,50.0,166.91666666666563,0.30303030303030304
961,50.0,166.0833333333323,0.30303030303030304
962,50.0,165.24999999999895,0.30303030303030304
963,50.0,164.4166666666656,0.30303030303030304
964,50.0,163.58333333333226,0.30303030303030304
965,50.0,162.74999999999892,0.30303030303030304
966,50.0,161.91666666666558,0.30303030303030304
967,50.0,161.08333333333223,0.30303030303030304
968,50.0,160.2499999999989,0.30303030303030304
969,50.0,159.41666666666555,0.30303030303030304
970,50.0,158.5833333333322,0.30303030303030304
971,50.0,157.74999999999886,0.30303030303030304
972,50.0,156.91666666666552,0.30303030303030304
973,50.0,156.08333333333218,0.30303030303030304
974,50.0,155.24999999999883,0.30303030303030304
975,50.0,154.4166666666655,0.30303030303030304
976,50.0,153.58333333333215,0.30303030303030304
977,50.0,152.7499999999988,0.30303030303030304
978,50.0,151.91666666666546,0.30303030303030304
979,50.0,151.08333333333212,0.30303030303030304
980,50.0,150.24999999999878,0.30303030303030304
981,50.0,149.41666666666544,0.30303030303030304
982,50.0,148.5833333333321,0.30303030303030304
983,50.0,147.74999999999875,0.30303030303030304
984,50.0,146.9166666666654,0.30303030303030304
985,50.0,146.08333333333206,0.30303030303030304
986,50.0,145.24999999999872,0.30303030303030304
987,50.0,144.41666666666538,0.30303030303030304
988,50.0,143.58333333333204,0.30303030303030304
989,50.0,142.7499999999987,0.30303030303030304
990,50.0,141.91666666666535,0.30303030303030304
991,50.0,141.083333333332,0.30303030303030304
992,50.0,140.24999999999866,0.30303030303030304
